NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NZ_CP019795.1 Paenibacillus larvae subsp. pulvifaciens strain ATCC 13537 plasmid pPLP1, complete sequence
NZ_CP019796.1 Paenibacillus larvae subsp. pulvifaciens strain ATCC 13537 plasmid pPLP2, complete sequence
NZ_CP011706.1 Bordetella pertussis strain H847 chromosome, complete genome
NZ_CP025594.1 Mycobacterium tuberculosis strain GG-5-10 chromosome, complete genome
NZ_CP049867.1 Nocardioides sp. HDW12B chromosome, complete genome
NZ_CP023621.1 Mycobacterium tuberculosis strain LN2900 chromosome, complete genome
NZ_LR134239.1 Escherichia coli strain NCTC9100 chromosome 1
NZ_CP045119.1 Rubrobacter sp. SCSIO 52909 chromosome, complete genome
NZ_CP045120.1 Rubrobacter sp. SCSIO 52909 plasmid unnamed1, complete sequence
NZ_CP011715.1 Bordetella pertussis strain I069 chromosome, complete genome
NZ_AP021868.1 Halomonas sp. AM6
NZ_CP013883.1 Bordetella pertussis strain I093 chromosome, complete genome
NZ_CP011447.1 Bordetella pertussis strain B3913 chromosome, complete genome
NZ_CP012325.1 Clostridioides difficile strain DSM 29020 chromosome, complete genome
NZ_CP040050.1 Acinetobacter baumannii strain VB16141 chromosome, complete genome
NZ_CP040051.1 Acinetobacter baumannii strain VB16141 plasmid unnamed1, complete sequence
NZ_CP040052.1 Acinetobacter baumannii strain VB16141 plasmid unnamed2, complete sequence
NZ_CP028206.1 Bacillus velezensis strain SRCM102742 chromosome, complete genome
NZ_CP033205.1 Bacillus subtilis strain MBI 600 chromosome, complete genome
NZ_CP009049.1 Salmonella enterica subsp. enterica serovar Paratyphi A strain 50973 chromosome, complete genome
NZ_CP016306.1 Sphingomonas sp. KC8 chromosome, complete genome
NZ_CP012621.1 Zobellella denitrificans strain F13-1 chromosome, complete genome
NZ_LS483472.1 Acinetobacter baumannii strain NCTC13421 chromosome 1
NZ_CP011203.1 Bordetella pertussis strain I730 chromosome, complete genome
NZ_CP016639.1 Burkholderia pseudomallei strain M1 chromosome 2, complete sequence
NZ_CP050904.1 Acinetobacter baumannii strain DT-Ab057 chromosome, complete genome
NZ_CP050905.1 Acinetobacter baumannii strain DT-Ab057 plasmid unnamed1, complete sequence
NZ_CP050906.1 Acinetobacter baumannii strain DT-Ab057 plasmid unnamed2, complete sequence
NZ_CP019860.1 Clostridioides difficile strain DSM 29632 chromosome, complete genome
NZ_CP025331.1 Brevibacterium aurantiacum strain SMQ-1418 chromosome, complete genome
NZ_CP048114.1 Edaphobacter sp. 12200R-103 chromosome, complete genome
NZ_CP035413.1 Bacillus subtilis strain SRCM103629 chromosome, complete genome
NZ_CP023776.1 Burkholderia pseudomallei strain BPHN1 chromosome 2, complete sequence
NZ_CP035226.1 Bacillus subtilis strain SRCM103517 chromosome, complete genome
NZ_CP035227.1 Bacillus subtilis strain SRCM103517 plasmid unnamed1
NZ_CP009101.1 Mycobacterium tuberculosis strain ZMC13-88 chromosome, complete genome
NZ_CP013388.1 Burkholderia sp. BDU8 chromosome 2, complete sequence
NZ_CP013389.1 Burkholderia sp. BDU8 chromosome 1, complete sequence
NZ_CP015766.1 Bordetella pertussis strain VA-15, complete genome
NZ_CP025380.1 Bordetella pertussis strain I598 chromosome, complete genome
NZ_AP022313.1 Elizabethkingia anophelis strain JUNP353 chromosome, complete genome
NZ_CP018382.1 Burkholderia pseudomallei strain 2008724758 chromosome 2, complete sequence
NZ_CP029758.2 Clostridium sp. AWRP chromosome, complete genome
NC_017524.1 Mycobacterium tuberculosis CTRI-2, complete genome
NZ_CP045652.1 Sphingobacterium sp. dk4302 chromosome, complete genome
NZ_AP022842.1 Bacillus sp. KH172YL63
NZ_CP033053.1 Bacillus velezensis strain Bac57 plasmid unnamed, complete sequence
NZ_CP033054.1 Bacillus velezensis strain Bac57 chromosome, complete genome
NZ_CP035395.1 Bacillus subtilis strain SRCM103697 chromosome, complete genome
NZ_CP035396.1 Bacillus subtilis strain SRCM103697 plasmid unnamed1, complete sequence
NZ_CP020086.1 Shigella flexneri 1a strain 0670 chromosome, complete genome
NZ_CP020087.1 Shigella flexneri 1a strain 0670 plasmid unnamed1, complete sequence
NZ_CP020088.1 Shigella flexneri 1a strain 0670 plasmid unnamed2, complete sequence
NZ_CP054212.1 Erwiniaceae bacterium PD-1 chromosome, complete genome
NZ_CP054213.1 Erwiniaceae bacterium PD-1 plasmid pPD-1, complete sequence
NZ_CP011440.1 Bordetella pertussis strain B1838 chromosome, complete genome
NZ_CP025372.1 Bordetella pertussis strain I372 chromosome, complete genome
NZ_CP010439.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
NZ_CP006779.1 Yersinia pestis 1412 plasmid pMT, complete sequence
NZ_CP006780.1 Yersinia pestis 1412 plasmid pCD, complete sequence
NZ_CP012083.1 Bordetella pertussis strain I751 chromosome, complete genome
NC_017584.1 Rhodospirillum rubrum F11, complete sequence
NZ_CP009452.1 Sphingopyxis sp. 113P3 chromosome, complete genome
NZ_CP009453.1 Sphingopyxis sp. 113P3 plasmid unnamed, complete sequence
NZ_LT853882.1 Xanthomonas fragariae strain PD885 chromosome 1
NZ_LT853883.1 Xanthomonas fragariae strain PD885 plasmid pPD885-29, complete sequence
NZ_LT853884.1 Xanthomonas fragariae strain PD885 plasmid pPD885-27, complete sequence
NZ_CP013094.1 Bordetella pertussis strain J197 chromosome, complete genome
NZ_CP025606.1 Mycobacterium tuberculosis strain GG-137-10 chromosome, complete genome
NZ_CP023168.1 Bacillus paralicheniformis strain 14DA11 chromosome, complete genome
NZ_CP045821.1 Bacillus subtilis strain MB8_B7 chromosome, complete genome
NZ_CP045822.1 Bacillus subtilis strain MB8_B7 plasmid pBs001, complete sequence
NZ_CP023603.1 Mycobacterium tuberculosis strain LE63 chromosome, complete genome
NZ_CP011205.1 Bordetella pertussis strain I763 chromosome, complete genome
NZ_CP011693.1 Bordetella pertussis strain E530, complete genome
NZ_CP013951.1 Bordetella pertussis strain J096 chromosome, complete genome
NZ_CP009547.1 Burkholderia sp. 2002721687 plasmid pBTU, complete sequence
NZ_CP009548.1 Burkholderia sp. 2002721687 chromosome II, complete sequence
NZ_CP009549.1 Burkholderia sp. 2002721687 chromosome I, complete sequence
NZ_CP025378.1 Bordetella pertussis strain I692 chromosome, complete genome
NZ_CP025941.1 Bacillus subtilis strain BJ3-2 chromosome, complete genome
NZ_CP025942.1 Bacillus subtilis strain BJ3-2 plasmid unnamed, complete sequence
NZ_CP045121.1 Rubrobacter sp. SCSIO 52915 chromosome, complete genome
NZ_CP045122.1 Rubrobacter sp. SCSIO 52915 plasmid unnamed1, complete sequence
NZ_CP048852.1 Bacillus tequilensis strain EA-CB0015 chromosome, complete genome
NZ_CP025344.1 Bordetella pertussis strain J077 chromosome, complete genome
NZ_CP011729.1 Bordetella pertussis strain I289 chromosome, complete genome
NZ_CP031145.1 Intrasporangium calvum strain C5 chromosome, complete genome
NZ_CP051869.1 Acinetobacter baumannii strain Ab-D10a-a chromosome, complete genome
NZ_CP051870.1 Acinetobacter baumannii strain Ab-D10a-a plasmid pAb-D10a-a_1, complete sequence
NZ_CP051871.1 Acinetobacter baumannii strain Ab-D10a-a plasmid pAb-D10a-a_2, complete sequence
NZ_CP051872.1 Acinetobacter baumannii strain Ab-D10a-a plasmid pAb-D10a-a_3, complete sequence
NZ_CP051873.1 Acinetobacter baumannii strain Ab-D10a-a plasmid pAb-D10a-a_4, complete sequence
NZ_CP051874.1 Acinetobacter baumannii strain Ab-D10a-a plasmid pAb-D10a-a_5, complete sequence
NZ_CP026593.1 Clostridioides difficile strain 12-00008 chromosome, complete genome
NZ_CP016104.1 Clostridioides difficile strain DSM 29629 chromosome, complete genome
NZ_CP023409.1 Bacillus subtilis strain 7PJ-16 chromosome, complete genome
NZ_CP033046.1 Virgibacillus sp. Bac332 chromosome, complete genome
NZ_CP033047.1 Virgibacillus sp. Bac332 plasmid unnamed, complete sequence
NZ_CP039935.1 Bacillus subtilis strain H19 chromosome, complete genome
NZ_CP024613.1 Acinetobacter baumannii strain Ab4568 chromosome, complete genome
NZ_CP011321.1 Escherichia coli strain SQ88 chromosome, complete genome
NZ_CP051464.1 Bacillus mojavensis strain UCMB5075 chromosome, complete genome
NZ_CP012309.1 Clostridioides difficile strain DSM 28668 chromosome, complete genome
NZ_CP032861.1 Bacillus subtilis subsp. subtilis strain N1-1 chromosome, complete genome
NZ_CP032862.1 Bacillus subtilis subsp. subtilis strain N1-1 plasmid unnamed1, complete sequence
NZ_CP011255.1 Bordetella pertussis strain I344 chromosome, complete genome
NZ_CP021333.1 Marinobacter salarius strain HL2708#2 chromosome, complete genome
NZ_CP021334.1 Marinobacter salarius strain HL2708#2 plasmid pHL2708Z5, complete sequence
NZ_CP017014.1 Rhodococcus sp. WMMA185 chromosome, complete genome
NZ_CP025370.1 Bordetella pertussis strain I120 chromosome, complete genome
NZ_CP015607.1 Bacillus safensis strain U14-5, complete genome
NZ_CP015608.1 Bacillus safensis strain U14-5 plasmid unnamed1, complete sequence
NZ_CP015609.1 Bacillus safensis strain U14-5 plasmid unnamed2, complete sequence
NZ_CP016554.1 Ralstonia solanacearum FJAT-1458 chromosome, complete genome
NZ_CP016555.1 Ralstonia solanacearum FJAT-1458 plasmid plas1, complete sequence
NZ_CP040396.1 Paenibacillus sp. HB172198 chromosome, complete genome
NZ_CP041357.1 Bacillus halotolerans strain F41-3 chromosome, complete genome
NZ_CP027664.1 Pseudomonas stutzeri strain 1W1-1A chromosome, complete genome
NZ_CP011722.1 Bordetella pertussis strain I135 chromosome, complete genome
NZ_CP032816.1 Salmonella enterica subsp. enterica serovar Montevideo strain 11TTUC-046 chromosome, complete genome
NZ_CP012126.1 Escherichia coli strain DH1Ec104, complete genome
NZ_CP018419.1 Burkholderia pseudomallei strain 2002734728 chromosome 2, complete sequence
NZ_CP021782.1 Acinetobacter baumannii strain A85 chromosome, complete genome
NZ_CP021783.1 Acinetobacter baumannii strain A85 plasmid pA85-1, complete sequence
NZ_CP021784.1 Acinetobacter baumannii strain A85 plasmid pA85-1a, complete sequence
NZ_CP021785.1 Acinetobacter baumannii strain A85 plasmid pA85-1b, complete sequence
NZ_CP021786.1 Acinetobacter baumannii strain A85 plasmid pA85-2, complete sequence
NZ_CP021787.1 Acinetobacter baumannii strain A85 plasmid pA85-3, complete sequence
NZ_CP013899.1 Bordetella pertussis strain J162 chromosome, complete genome
NZ_CP006908.1 Clostridium botulinum CDC_1436 chromosome, complete genome
NZ_CP006909.1 Clostridium botulinum CDC_1436 plasmid pCBG, complete sequence
NZ_CP011192.1 Bordetella pertussis strain H765 chromosome, complete genome
NZ_CP025491.2 Legionella sainthelensi strain LA01-117 chromosome, complete genome
NZ_CP025492.2 Legionella sainthelensi strain LA01-117 plasmid pLA01-117_150k, complete sequence
NZ_CP025493.2 Legionella sainthelensi strain LA01-117 plasmid pLA01-117_113k, complete sequence
NZ_CP016767.1 Bacillus subtilis strain CW14 chromosome, complete genome
NZ_CP013380.1 Burkholderia sp. Bp5365 strain MSMB43 chromosome 1, complete sequence
NZ_CP013381.1 Burkholderia sp. Bp5365 strain MSMB43 plasmid pMSMB43, complete sequence
NZ_CP013382.1 Burkholderia sp. Bp5365 strain MSMB43 chromosome 2, complete sequence
NZ_CP041757.1 Bacillus sp. KBS0812 chromosome, complete genome
NZ_CP041758.1 Bacillus sp. KBS0812 plasmid unnamed, complete sequence
NZ_CP011882.1 Bacillus subtilis strain TO-A JPC chromosome, complete genome
NZ_CP023257.1 Bacillus subtilis strain TLO3 chromosome, complete genome
NC_021905.1 Rhizobium etli bv. mimosae str. Mim1, complete genome
NC_021906.1 Rhizobium etli bv. mimosae str. Mim1 plasmid pRetMIM1a, complete sequence
NC_021907.1 Rhizobium etli bv. mimosae str. Mim1 plasmid pRetMIM1b, complete sequence
NC_021908.1 Rhizobium etli bv. mimosae str. Mim1 plasmid pRetMIM1d, complete sequence
NC_021909.1 Rhizobium etli bv. mimosae str. Mim1 plasmid pRetMIM1e, complete sequence
NC_021910.1 Rhizobium etli bv. mimosae str. Mim1 plasmid pRetNIM1c, complete sequence
NC_021911.1 Rhizobium etli bv. mimosae str. Mim1 plasmid pRetMIM1f, complete sequence
NZ_CP013885.1 Bordetella pertussis strain J097 chromosome, complete genome
NZ_CP026762.1 Shigella boydii strain NCTC 9850 chromosome, complete genome
NZ_CP026763.1 Shigella boydii strain NCTC 9850 plasmid unnamed
NZ_CP032852.1 Bacillus subtilis subsp. subtilis strain GFR-12 chromosome, complete genome
NZ_CP011717.1 Bordetella pertussis strain I089 chromosome, complete genome
NZ_CP042239.1 Sphingomonas sp. XS-10 chromosome, complete genome
NZ_AP018677.1 Vibrio cholerae strain V060002
NZ_CP017938.1 Acinetobacter pittii strain YMC2010/8/T346 chromosome, complete genome
NZ_CP017939.1 Acinetobacter pittii strain YMC2010/8/T346 plasmid unnamed1, complete sequence
NZ_CP050907.1 Acinetobacter baumannii strain DT-Ab022 chromosome, complete genome
NZ_CP050908.1 Acinetobacter baumannii strain DT-Ab022 plasmid unnamed1, complete sequence
NZ_CP050909.1 Acinetobacter baumannii strain DT-Ab022 plasmid unnamed2, complete sequence
NZ_CP050910.1 Acinetobacter baumannii strain DT-Ab022 plasmid unnamed3, complete sequence
NZ_CP010246.1 Yersinia pestis Pestoides G plasmid pCD, complete sequence
NZ_CP010248.1 Yersinia pestis Pestoides G plasmid pMT
NZ_CP051474.1 Acinetobacter baumannii strain VB2107 chromosome, complete genome
NZ_CP051475.1 Acinetobacter baumannii strain VB2107 plasmid pVB2107_1, complete sequence
NZ_CP051476.1 Acinetobacter baumannii strain VB2107 plasmid pVB2107_2, complete sequence
NZ_CP051477.1 Acinetobacter baumannii strain VB2107 plasmid pVB2107_3, complete sequence
NZ_CP021740.1 Klebsiella pneumoniae strain AR_0126, complete genome
NZ_CP021741.1 Klebsiella pneumoniae strain AR_0126 plasmid tig00000001, complete sequence
NZ_CP021742.1 Klebsiella pneumoniae strain AR_0126 plasmid tig00000002jNODE_23, complete sequence
NZ_CP021743.1 Klebsiella pneumoniae strain AR_0126 plasmid tig00000003, complete sequence
NZ_CP013023.1 Paenibacillus sp. BD3526, complete genome
NZ_CP012112.1 Escherichia coli strain PSUO78, complete genome
NZ_CP012113.1 Escherichia coli strain PSUO78 plasmid pPSUO78_1, complete sequence
NZ_CP012114.1 Escherichia coli strain PSUO78 plasmid pPSUO78_2, complete sequence
NZ_CP009072.1 Escherichia coli ATCC 25922 chromosome, complete genome
NZ_CP009073.1 Escherichia coli ATCC 25922 plasmid unnamed, complete sequence
NZ_CP009074.1 Escherichia coli ATCC 25922 plasmid unnamed, complete sequence
NZ_CP012802.1 Escherichia coli O157:H7 strain WS4202 chromosome, complete genome
NZ_CP012803.1 Escherichia coli O157:H7 strain WS4202 isolate laboratory strain plasmid pO157-WS4202, complete sequence
NZ_CP012804.1 Escherichia coli O157:H7 strain WS4202 isolate laboratory strain plasmid pOSAK1-WS4202, complete sequence
NC_022528.1 Vibrio nigripulchritudo, complete genome
NC_022543.1 Vibrio nigripulchritudo, complete genome
NZ_CP027713.1 Pseudomonas chlororaphis strain TAMOak81 chromosome, complete genome
NZ_AP014854.2 Blastochloris viridis strain DSM 133
NZ_CP043857.1 Arcobacter cibarius strain H743 chromosome, complete genome
NZ_CP043858.1 Arcobacter cibarius strain H743 plasmid pACIB, complete sequence
NZ_CP015074.2 Escherichia coli strain Ecol_745 chromosome, complete genome
NZ_CP015075.2 Escherichia coli strain Ecol_745 plasmid pEC745_OXA48, complete sequence
NZ_CP052859.1 Pseudomonas sp. ADAK18 chromosome, complete genome
NZ_LR134328.1 Bacillus freudenreichii strain NCTC4823 chromosome 1
NC_017161.1 Hydrogenobacter thermophilus TK-6, complete sequence
NZ_CP031325.1 Neisseria polysaccharea strain M18661 chromosome, complete genome
NZ_CP037449.1 Escherichia coli strain ATCC 25922 chromosome, complete genome
NZ_CP037450.1 Escherichia coli strain ATCC 25922 plasmid unnamed, complete sequence
NZ_CP024175.1 Bordetella bronchiseptica strain A345 chromosome, complete genome
NZ_LR130532.1 Escherichia coli isolate ecoli019 chromosome 0
NZ_CP012691.1 Bacillus cereus strain FORC_024, complete genome
NZ_CP029552.1 Methylobacterium sp. 17Sr1-1 chromosome, complete genome
NZ_LS483465.1 Salmonella enterica subsp. enterica serovar Senftenberg strain NCTC10080 chromosome 1
NZ_CP024615.1 Escherichia coli strain SMN152SH1 plasmid pO177C1, complete sequence
NZ_CP024616.1 Escherichia coli strain SMN152SH1 plasmid pO177B1, complete sequence
NZ_CP024617.1 Escherichia coli strain SMN152SH1 plasmid pO177A1, complete sequence
NZ_CP024618.1 Escherichia coli strain SMN152SH1 chromosome, complete genome
NC_017626.1 Escherichia coli 042, complete genome
NC_017627.1 Escherichia coli 042 plasmid pAA, complete sequence
NZ_CP031660.1 Pseudomonas aeruginosa strain PABL017 chromosome, complete genome
NZ_CP018977.1 Escherichia coli strain Ecol_656 plasmid pEC656_KPC, complete sequence
NZ_CP018978.1 Escherichia coli strain Ecol_656 plasmid pEC656_1, complete sequence
NZ_CP018979.1 Escherichia coli strain Ecol_656 chromosome, complete genome
NZ_CP041612.1 Streptomyces sp. S1A1-8 chromosome, complete genome
NZ_CP029195.1 Streptomyces venezuelae strain ATCC 10595 chromosome, complete genome
NZ_CP015150.1 Bacillus thuringiensis strain Bc601, complete genome
NZ_CP015151.1 Bacillus thuringiensis strain Bc601 plasmid pBTBC1, complete sequence
NZ_CP015152.1 Bacillus thuringiensis strain Bc601 plasmid pBTBC2, complete sequence
NZ_CP015153.1 Bacillus thuringiensis strain Bc601 plasmid pBTBC3, complete sequence
NZ_CP015154.1 Bacillus thuringiensis strain Bc601 plasmid pBTBC4, complete sequence
NZ_CP015155.1 Bacillus thuringiensis strain Bc601 plasmid pBTBC5, complete sequence
NZ_CP015156.1 Bacillus thuringiensis strain Bc601 plasmid pBTBC6, complete sequence
NZ_CP024528.1 Klebsiella pneumoniae strain INF157 chromosome, complete genome
NZ_CP024529.1 Klebsiella pneumoniae strain INF157 plasmid unnamed1, complete sequence
NZ_CP024530.1 Klebsiella pneumoniae strain INF157 plasmid unnamed2, complete sequence
NZ_CP024531.1 Klebsiella pneumoniae strain INF157 plasmid unnamed3, complete sequence
NZ_CP024532.1 Klebsiella pneumoniae strain INF157 plasmid unnamed4, complete sequence
NZ_CP024533.1 Klebsiella pneumoniae strain INF157 plasmid unnamed5, complete sequence
NZ_CP024534.1 Klebsiella pneumoniae strain INF157 plasmid unnamed6, complete sequence
NZ_CP023164.1 Escherichia coli O22:H8 strain RM10809-3 plasmid pRM10809-3, complete sequence
