NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_LT904868.1 Salmonella enterica subsp. enterica serovar Typhi strain H12ESR04734-001A chromosome 1
NC_008228.1 Pseudoalteromonas atlantica T6c, complete genome
NZ_CP013190.1 Escherichia coli strain FORC_031, complete genome
NZ_CP013191.1 Escherichia coli strain FORC_031 plasmid pFORC31.1, complete sequence
NZ_CP013192.1 Escherichia coli strain FORC_031 plasmid pFORC31.2, complete sequence
NZ_CP013193.1 Escherichia coli strain FORC_031 plasmid pFORC31.3, complete sequence
NZ_CP013194.1 Escherichia coli strain FORC_031 plasmid pFORC31.4, complete sequence
NZ_CP024801.1 Escherichia coli strain AMA1167 chromosome, complete genome
NZ_CP024802.1 Escherichia coli strain AMA1167 plasmid pAMA1167-3, complete sequence
NZ_CP024803.1 Escherichia coli strain AMA1167 plasmid pAMA1167-4, complete sequence
NZ_CP024804.1 Escherichia coli strain AMA1167 plasmid pAMA1167-5, complete sequence
NZ_CP024805.1 Escherichia coli strain AMA1167 plasmid pAMA1167-NDM-5, complete sequence
NZ_CP024806.1 Escherichia coli strain AMA1167 plasmid pAMA1167-OXA-181, complete sequence
NZ_CP022491.1 Salmonella enterica subsp. enterica serovar Saintpaul strain SA20031783 chromosome, complete genome
NZ_CP022492.1 Salmonella enterica subsp. enterica serovar Saintpaul strain SA20031783 plasmid unnamed1, complete sequence
NC_015848.1 Mycobacterium canettii CIPT 140010059, complete genome
NZ_CP014977.1 Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1896 isolate ST03-F34 chromosome, complete genome
NZ_CP014978.1 Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1896 isolate ST03-F34 plasmid pSTY1-1896, complete sequence
NZ_LR590470.1 Sphingobacterium daejeonense strain NCTC13534 chromosome 1
NZ_CP011256.1 Xanthomonas arboricola strain 17 chromosome, complete genome
NZ_CP025869.1 Escherichia coli strain 503829 chromosome, complete genome
NZ_CP025870.1 Escherichia coli strain 503829 plasmid p503829_100, complete sequence
NZ_CP025871.1 Escherichia coli strain 503829 plasmid p503829_52, complete sequence
NZ_CP025872.1 Escherichia coli strain 503829 plasmid p503829_77, complete sequence
NZ_CP027255.1 Escherichia coli strain EC11 chromosome, complete genome
NZ_CP027256.1 Escherichia coli strain EC11 plasmid unnamed1, complete sequence
NZ_CP027257.1 Escherichia coli strain EC11 plasmid unnamed2, complete sequence
NZ_CP027258.1 Escherichia coli strain EC11 plasmid unnamed3, complete sequence
NZ_CP027259.1 Escherichia coli strain EC11 plasmid unnamed4, complete sequence
NZ_CP035547.1 Salmonella enterica subsp. enterica serovar Typhimurium strain YU07-18 chromosome, complete genome
NZ_CP035548.1 Salmonella enterica subsp. enterica serovar Typhimurium strain YU07-18 plasmid pYU07-18_IncA/C2, complete sequence
NZ_CP035549.1 Salmonella enterica subsp. enterica serovar Typhimurium strain YU07-18 plasmid pYU07-18_89, complete sequence
NZ_CP035550.1 Salmonella enterica subsp. enterica serovar Typhimurium strain YU07-18 plasmid pYU07-18_ColRNAI, complete sequence
NZ_CP035551.1 Salmonella enterica subsp. enterica serovar Typhimurium strain YU07-18 plasmid pYU07-18_3.0, complete sequence
NC_003198.1 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete genome
NC_003384.1 Salmonella enterica subsp. enterica serovar Typhi str. CT18 plasmid pHCM1, complete sequence
NC_003385.1 Salmonella enterica subsp. enterica serovar Typhi str. CT18 plasmid pHCM2, complete sequence
NZ_LT904886.1 Salmonella enterica subsp. enterica serovar Typhi strain SGB82 chromosome 1
NZ_CP025804.1 Sulfitobacter sp. SK012 chromosome, complete genome
NZ_CP025805.1 Sulfitobacter sp. SK012 plasmid unnamed1, complete sequence
NZ_CP025806.1 Sulfitobacter sp. SK012 plasmid unnamed3, complete sequence
NZ_CP025807.1 Sulfitobacter sp. SK012 plasmid unnamed4, complete sequence
NZ_CP043105.1 Bordetella parapertussis strain J116 chromosome, complete genome
NZ_CP024174.1 Bordetella parapertussis strain F585 chromosome, complete genome
NZ_CP013990.1 Leclercia adecarboxylata strain USDA-ARS-USMARC-60222 chromosome, complete genome
NZ_CP014536.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SO3 isolate SOHS 02-68 chromosome, complete genome
NZ_CP014537.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SO3 isolate SOHS 02-68 plasmid pSO3_STV, complete sequence
NZ_CP031560.1 Dickeya dianthicola strain ME23 chromosome, complete genome
NZ_LT904878.1 Salmonella enterica subsp. enterica serovar Typhi strain ty3-193 genome assembly, chromosome: 1
NZ_LT904879.1 Salmonella enterica subsp. enterica serovar Typhi strain ty3-193 genome assembly, plasmid: 2
NZ_LT904880.1 Salmonella enterica subsp. enterica serovar Typhi strain ty3-193 genome assembly, plasmid: 3
NZ_CP019181.1 Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720 chromosome, complete genome
NZ_CP019182.1 Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720 plasmid pATCC10720, complete sequence
NZ_CP054716.1 Salmonella enterica strain 85-0120 plasmid unnamed3, complete sequence
NZ_CP054717.1 Salmonella enterica strain 85-0120 plasmid unnamed1, complete sequence
NZ_CP054718.1 Salmonella enterica strain 85-0120 plasmid unnamed2, complete sequence
NZ_LT904894.1 Salmonella enterica subsp. enterica serovar Typhi strain ERL12960 genome assembly, chromosome: 1
NZ_LT904895.1 Salmonella enterica subsp. enterica serovar Typhi strain ERL12960 genome assembly, plasmid: 2
NZ_CP011259.2 Salmonella enterica subsp. enterica serovar Agona str. 460004 2-1 chromosome, complete genome
NZ_CP012380.1 Escherichia coli strain WAT, complete genome
NZ_CP010071.1 Mycobacterium sp. QIA-37, complete genome
NZ_CP029846.1 Salmonella enterica subsp. enterica serovar Typhi strain 343078_273110 chromosome, complete genome
NZ_CP029847.1 Salmonella enterica subsp. enterica serovar Typhi strain 343078_273110 plasmid pHCM2, complete sequence
NZ_LT904870.1 Salmonella enterica subsp. enterica serovar Typhi strain SGB90 chromosome 1
NZ_CP043946.1 Escherichia coli strain AR202.2 chromosome, complete genome
NZ_CP043947.1 Escherichia coli strain AR202.2 plasmid pMPTEM-30, complete sequence
NZ_CP043948.1 Escherichia coli strain AR202.2 plasmid pMPNDM-5, complete sequence
NZ_CP043949.1 Escherichia coli strain AR202.2 plasmid pMPCMY-2, complete sequence
NZ_CP028536.2 Enterobacter hormaechei strain SCEH020042 plasmid pNDM5_020042, complete sequence
NZ_CP028537.1 Enterobacter hormaechei strain SCEH020042 plasmid pQnrB4_020042, complete sequence
NZ_CP028538.2 Enterobacter hormaechei strain SCEH020042 chromosome, complete genome
NZ_CP010283.1 Salmonella enterica subsp. enterica serovar Newport str. CVM 21550, complete genome
NZ_CP029955.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_202186 plasmid pHCM1, complete sequence
NZ_CP029956.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_202186 chromosome, complete genome
NZ_CP007505.1 Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19, complete genome
NZ_CP022503.1 Salmonella enterica subsp. enterica serovar Hvittingfoss str. SA20014981 chromosome, complete genome
NZ_CP040077.1 Burkholderia sp. DHOD12 chromosome 1, complete sequence
NZ_CP040078.1 Burkholderia sp. DHOD12 chromosome 2, complete sequence
NZ_CP040079.1 Burkholderia sp. DHOD12 chromosome 3, complete sequence
NZ_CP031010.1 Alteromonas sp. RKMC-009 chromosome, complete genome
NZ_CP019006.1 Escherichia coli strain Ecol_AZ159 plasmid pECAZ159_2, complete sequence
NZ_CP019007.1 Escherichia coli strain Ecol_AZ159 plasmid pECAZ159_1, complete sequence
NZ_CP019008.1 Escherichia coli strain Ecol_AZ159 chromosome, complete genome
NZ_CP025453.1 Salmonella enterica subsp. enterica serovar Agona strain USDA-ARS-USMARC-76341 chromosome, complete genome
NZ_CP050862.1 Escherichia coli strain 8-3-DC15 chromosome, complete genome
NZ_CP050863.1 Escherichia coli strain 8-3-DC15 plasmid unnamed1, complete sequence
NZ_CP050864.1 Escherichia coli strain 8-3-DC15 plasmid unnamed2, complete sequence
NZ_CP040668.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain SA20082869 chromosome, complete genome
NZ_CP040669.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain SA20082869 plasmid pSA20082869.1, complete sequence
NZ_CP040670.1 Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- strain SA20082869 plasmid pSA20082869.2, complete sequence
NZ_CP029852.1 Salmonella enterica subsp. enterica serovar Typhi strain 343078_201101 chromosome, complete genome
NZ_CP043067.1 Bordetella parapertussis strain J711 chromosome, complete genome
NZ_CP019045.1 Halioglobus pacificus strain RR3-57 plasmid pRR3-57, complete sequence
NZ_CP019046.1 Halioglobus pacificus strain RR3-57 chromosome, complete genome
NZ_CP031464.1 Xanthomonas oryzae pv. oryzae strain YC11 chromosome, complete genome
NZ_CP024263.1 Escherichia coli O169:H41 strain F6326-C1 chromosome, complete genome
NZ_CP024264.1 Escherichia coli O169:H41 strain F6326-C1 plasmid unnamed1
NZ_CP024265.1 Escherichia coli O169:H41 strain F6326-C1 plasmid unnamed2, complete sequence
NZ_CP027397.1 Yersinia intermedia strain FDAARGOS_358 chromosome, complete genome
NZ_CP043090.1 Bordetella parapertussis strain J282 chromosome, complete genome
NZ_CP029567.1 Salmonella enterica strain DA34821 chromosome, complete genome
NZ_CP026981.1 Pectobacterium parmentieri strain IFB5485 chromosome, complete genome
NZ_CP042505.1 Leclercia adecarboxylata strain E1 chromosome, complete genome
NZ_CP042506.1 Leclercia adecarboxylata strain E1 plasmid pE1_001, complete sequence
NZ_CP042507.1 Leclercia adecarboxylata strain E1 plasmid pE1_002, complete sequence
NZ_CP042508.1 Leclercia adecarboxylata strain E1 plasmid pE1_003, complete sequence
NZ_CP042509.1 Leclercia adecarboxylata strain E1 plasmid pE1_004, complete sequence
NZ_CP042510.1 Leclercia adecarboxylata strain E1 plasmid pE1_005, complete sequence
NZ_CP042511.1 Leclercia adecarboxylata strain E1 plasmid pE1_006, complete sequence
NZ_CP013678.1 Xanthomonas oryzae pv. oryzae strain PXO563, complete genome
NZ_CP050865.1 Escherichia coli strain 8-3-Ti3 chromosome, complete genome
NZ_CP050866.1 Escherichia coli strain 8-3-Ti3 plasmid unnamed1, complete sequence
NZ_CP050867.1 Escherichia coli strain 8-3-Ti3 plasmid unnamed2, complete sequence
NZ_CP022060.1 Salmonella enterica strain FDAARGOS_312 plasmid unnamed1 sequence
NZ_CP022061.1 Salmonella enterica strain FDAARGOS_312 plasmid unnamed2, complete sequence
NZ_CP022062.1 Salmonella enterica strain FDAARGOS_312 chromosome, complete genome
NZ_CP022063.1 Salmonella enterica strain FDAARGOS_312 plasmid unnamed3, complete sequence
NZ_CP022064.1 Salmonella enterica strain FDAARGOS_312 plasmid unnamed4, complete sequence
NZ_CP022065.1 Salmonella enterica strain FDAARGOS_312 plasmid unnamed5 sequence
NZ_CP019226.1 Xanthomonas oryzae pv. oryzae strain IX-280 chromosome, complete genome
NZ_CP019227.1 Xanthomonas oryzae pv. oryzae strain IX-280 plasmid pXOO43, complete sequence
NZ_CP029925.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_218186 chromosome, complete genome
NZ_CP029926.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_218186 plasmid pHCM1, complete sequence
NZ_CP028922.1 Paenibacillus sp. CAA11 chromosome, complete genome
NZ_CP039509.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 chromosome, complete genome
NZ_CP039510.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 plasmid p7102_58-3, complete sequence
NZ_CP039511.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 plasmid p7102_58-2, complete sequence
NZ_CP039512.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 plasmid p7102_58-1, complete sequence
NZ_CP039513.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 plasmid p7102_58-6, complete sequence
NZ_CP039514.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 plasmid p7102_58-5, complete sequence
NZ_CP039515.1 Salmonella enterica subsp. enterica serovar Worthington strain 7102.58 plasmid p7102_58-4, complete sequence
NZ_LR134393.1 Pseudomonas taetrolens strain NCTC8067 chromosome 1
NZ_CP029886.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_220186 chromosome, complete genome
NZ_CP029887.1 Salmonella enterica subsp. enterica serovar Typhi strain 311189_220186 plasmid pHCM1, complete sequence
NZ_CP029593.1 Salmonella enterica strain DA34827 chromosome, complete genome
NZ_CP029594.1 Salmonella enterica strain DA34827 plasmid pDA34827-94, complete sequence
NZ_CP025330.1 Brevibacterium aurantiacum strain SMQ-1417 chromosome, complete genome
NZ_CP041301.1 Escherichia coli strain MSHS 472 plasmid pCys-6, complete sequence
NZ_CP041302.1 Escherichia coli strain MSHS 472 chromosome, complete genome
NZ_CP026985.1 Pectobacterium parmentieri strain IFB5619 chromosome, complete genome
NZ_CP045929.1 Saccharopolyspora sp. E2A chromosome, complete genome
NZ_CP040677.1 Kosakonia sacchari strain DSM 107661 chromosome, complete genome
NZ_CP026830.1 Shigella dysenteriae strain ATCC 12039 plasmid unnamed, complete sequence
NZ_CP026831.1 Shigella dysenteriae strain ATCC 12039 chromosome, complete genome
NZ_CP020409.2 Yersinia sp. FDAARGOS_228 chromosome, complete genome
NZ_CP043076.1 Bordetella parapertussis strain J328 chromosome, complete genome
NZ_CP036168.1 Salmonella enterica subsp. enterica serovar Typhimurium strain sg_wt7 chromosome, complete genome
NZ_CP013685.1 Salmonella enterica subsp. enterica serovar Newport strain 0007-33, complete genome
NZ_CP029574.1 Escherichia coli strain DA33133 chromosome, complete genome
NZ_CP029575.1 Escherichia coli strain DA33133 plasmid pDA33133-157, complete sequence
NZ_CP043163.1 Bordetella parapertussis strain H102 chromosome, complete genome
NZ_CP019169.1 Betaproteobacteria bacterium GR16-43 chromosome, complete genome
NZ_CP034236.1 Pectobacterium carotovorum subsp. carotovorum strain BP201601.1 chromosome, complete genome
NZ_CP006587.1 Hymenobacter sp. APR13, complete genome
NZ_CP006588.1 Hymenobacter sp. APR13 plasmid pHA, complete sequence
NZ_CP006589.1 Hymenobacter sp. APR13 plasmid pHB, complete sequence
NZ_CP006590.1 Hymenobacter sp. APR13 plasmid pHC, complete sequence
NZ_CP021111.1 Bordetella genomosp. 13 strain AU7206 chromosome, complete genome
NZ_CP051714.1 Escherichia coli strain SCU-122 chromosome, complete genome
NZ_CP051715.1 Escherichia coli strain SCU-122 plasmid pSCU-122-2, complete sequence
NZ_CP020114.1 Nodularia spumigena UHCC 0039 chromosome, complete genome
NZ_CP020115.1 Nodularia spumigena UHCC 0039 plasmid pUHCC0039a, complete sequence
NZ_CP022489.1 Salmonella enterica subsp. enterica serovar Mbandaka strain SA20026234 chromosome, complete genome
NZ_CP023386.1 Escherichia coli strain 1190 chromosome, complete genome
NZ_CP023387.1 Escherichia coli strain 1190 plasmid p86, complete sequence
NZ_CP012504.1 Aeromonas veronii strain TH0426 chromosome, complete genome
NZ_LR025096.1 Escherichia coli isolate EC-7215 chromosome 1
NZ_LR025097.1 Escherichia coli isolate EC-7215 plasmid 2, complete sequence
NZ_LR025098.1 Escherichia coli isolate EC-7215 plasmid pOXA-48_E7215, complete sequence
NZ_CP032446.1 Salmonella enterica subsp. enterica serovar Dublin strain USMARC-69840 chromosome, complete genome
NZ_CP032447.1 Salmonella enterica subsp. enterica serovar Dublin strain USMARC-69840 plasmid pSDU1-USMARC-69840, complete sequence
NZ_CP032448.1 Salmonella enterica subsp. enterica serovar Dublin strain USMARC-69840 plasmid pSDU2-USMARC-69840, complete sequence
NZ_CP050769.1 Salmonella enterica subsp. enterica serovar Indiana strain SI108 chromosome, complete genome
NZ_CP050770.1 Salmonella enterica subsp. enterica serovar Indiana strain SI108 plasmid pSI108-1, complete sequence
NZ_CP050734.1 Salmonella enterica subsp. enterica serovar Typhimurium strain ST90 chromosome, complete genome
NZ_CP050735.1 Salmonella enterica subsp. enterica serovar Typhimurium strain ST90 plasmid pST90-1, complete sequence
NZ_CP050736.1 Salmonella enterica subsp. enterica serovar Typhimurium strain ST90 plasmid pST90-2, complete sequence
NZ_CP050737.1 Salmonella enterica subsp. enterica serovar Typhimurium strain ST90 plasmid pST90-3, complete sequence
NZ_CP050738.1 Salmonella enterica subsp. enterica serovar Typhimurium strain ST90 plasmid pST90-4, complete sequence
NZ_CP043399.1 Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S substr. GXS275 chromosome, complete genome
NZ_CP040336.1 Bacillus luti strain FJ chromosome, complete genome
NZ_CP040337.1 Bacillus luti strain FJ plasmid unnamed1, complete sequence
NZ_CP040338.1 Bacillus luti strain FJ plasmid unnamed2, complete sequence
NZ_CP040339.1 Bacillus luti strain FJ plasmid unnamed3, complete sequence
NC_007298.1 Dechloromonas aromatica RCB, complete genome
NZ_CP015411.1 Pseudoalteromonas luteoviolacea strain S4054249 chromosome 1, complete sequence
NZ_CP015412.1 Pseudoalteromonas luteoviolacea strain S4054249 chromosome 2, complete sequence
NZ_CP016440.1 Bordetella pseudohinzii strain HI4681 chromosome, complete genome
NZ_CP016441.1 Bordetella pseudohinzii strain HI4681 plasmid unnamed1, complete sequence
NZ_CP045057.1 Salmonella enterica subsp. enterica serovar Muenchen strain LG25 plasmid pLG25p1, complete sequence
NZ_CP045058.1 Salmonella enterica subsp. enterica serovar Muenchen strain LG25 plasmid pLG25p2, complete sequence
NZ_CP045059.1 Salmonella enterica subsp. enterica serovar Muenchen strain LG25 chromosome, complete genome
